age_CE  trsgi   numsamp
1244    1034      6
1245     962      6
1246    1071      6
1247    1042      6
1248    1129      6
1249    1046      6
1250     955      6
1251    1097      6
1252    1076      6
1253    1038      6
1254     868      6
1255    1035      6
1256    1108      6
1257     882      6
1258     945      6
1259    1068      6
1260     937      6
1261     917      6
1262     818      6
1263     841      6
1264     691      6
1265     964      6
1266    1066      6
1267    1105      6
1268     985      6
1269    1038      6
1270    1239      6
1271    1245      6
1272    1140      6
1273     950      6
1274    1097      6
1275    1091      6
1276    1110      6
1277    1205      7
1278    1134      7
1279     783      7
1280     881      7
1281     974      7
1282    1056      8
1283    1104      8
1284     997      8
1285     960      8
1286    1233      8
1287    1155      8
1288     940      8
1289     948      8
1290    1075      8
1291    1029      8
1292     840      8
1293     957      8
1294    1041      8
1295     964      8
1296     874      8
1297    1040      8
1298     991      8
1299    1113      8
1300    1064      8
1301     992      8
1302     900      8
1303    1002      8
1304    1105      8
1305    1059      8
1306    1058      8
1307    1106      8
1308     951      8
1309     882      8
1310     945      8
1311     943      8
1312    1047      8
1313    1137      8
1314    1080      8
1315    1054      8
1316    1032      8
1317    1113      8
1318    1021      8
1319    1061      8
1320     999      8
1321     973      8
1322    1074      8
1323    1109      8
1324    1079      8
1325     978      8
1326    1106      8
1327    1086      8
1328     927      8
1329     901      8
1330    1273      8
1331    1219      8
1332    1089      8
1333     976      8
1334    1026      8
1335     916      8
1336     997      8
1337    1152      8
1338    1112      8
1339     954      8
1340     954      8
1341    1054      8
1342     983      8
1343     969      8
1344     997      8
1345    1065      8
1346    1028      8
1347    1008      8
1348    1069      8
1349    1135      8
1350     886      8
1351     812      8
1352     758      8
1353     982      8
1354    1018      8
1355    1014      8
1356    1014      8
1357     998      8
1358     827      8
1359     921      8
1360     856      8
1361     910      8
1362     990      8
1363     979      8
1364     979      8
1365     917      8
1366     914      9
1367    1194      9
1368    1105      9
1369     986      9
1370    1025      9
1371    1014      9
1372    1010      9
1373    1016      9
1374    1005      9
1375     984      9
1376     900      9
1377     835      9
1378    1063      9
1379    1106      9
1380    1061      9
1381    1153      9
1382    1009      9
1383    1052      9
1384     985      9
1385     914      9
1386     991      9
1387     905      9
1388     987      9
1389    1101      9
1390     962      9
1391    1014      9
1392    1174      9
1393    1173      9
1394     995      9
1395    1005      9
1396    1070      9
1397    1080      9
1398    1080      9
1399    1088      9
1400     962      9
1401     911      9
1402     913      9
1403     918      9
1404     939      9
1405     901      9
1406     964      9
1407    1099      9
1408    1047      9
1409    1073      9
1410     944      9
1411    1025      8
1412    1033      8
1413    1044      8
1414    1050      8
1415    1068      8
1416    1040      8
1417     979      8
1418    1041      8
1419     875      8
1420     908      8
1421    1000      8
1422    1057      8
1423    1035      8
1424     948      8
1425     906      8
1426     766      8
1427     941      8
1428     868      8
1429     864      8
1430     880      8
1431     940      8
1432    1032      8
1433    1060      8
1434    1061      8
1435    1010      8
1436    1012      8
1437     953      8
1438     991      8
1439     950      8
1440    1061      8
1441    1069      8
1442    1022      8
1443     991      8
1444    1031      8
1445    1097      8
1446    1206      8
1447    1045      8
1448    1029      8
1449    1061      8
1450    1024      8
1451     930      8
1452     924      9
1453     999      9
1454     965      9
1455    1018      9
1456     921      9
1457    1001      9
1458    1001      9
1459     993      9
1460    1073      9
1461     884      9
1462     973      9
1463    1064      9
1464    1019      9
1465    1057      9
1466    1069      9
1467    1241      9
1468     980      9
1469     986      9
1470     977      9
1471     998      9
1472     941      9
1473    1074      8
1474    1075      8
1475    1107      8
1476     990      8
1477    1056      8
1478    1010      8
1479     964      8
1480    1091      8
1481    1112      8
1482    1112      8
1483    1068      9
1484     970      9
1485     860      9
1486     843      9
1487     896      9
1488    1022     10
1489    1059     10
1490    1031     10
1491    1096     11
1492    1132     11
1493    1137     11
1494    1109     11
1495    1088     11
1496    1052     11
1497     973     11
1498    1016     11
1499     857     11
1500     766     11
1501     968     11
1502    1120     10
1503     872     10
1504     871     11
1505    1023     11
1506    1037     11
1507     985     11
1508    1021     11
1509    1019     11
1510     792     12
1511     855     12
1512     966     12
1513    1018     12
1514    1007     12
1515     944     12
1516     885     12
1517    1058     12
1518    1102     12
1519     994     12
1520    1022     12
1521     931     12
1522    1047     12
1523    1022     12
1524    1072     12
1525     962     12
1526     941     12
1527     949     12
1528     920     12
1529     781     12
1530     993     12
1531    1101     12
1532     883     12
1533     910     12
1534    1044     12
1535     993     12
1536    1060     12
1537    1016     12
1538    1032     12
1539    1057     12
1540     862     12
1541     856     12
1542     893     12
1543     926     12
1544    1081     12
1545    1073     12
1546     995     12
1547    1079     12
1548     876     12
1549    1060     12
1550    1063     13
1551    1046     13
1552    1011     13
1553    1048     13
1554     980     13
1555     914     13
1556     849     13
1557     893     15
1558     856     15
1559     801     15
1560     979     15
1561     950     15
1562     949     15
1563    1023     15
1564     982     15
1565     924     15
1566     805     16
1567     869     16
1568     912     16
1569     854     16
1570     848     16
1571     721     16
1572     825     16
1573     943     16
1574     920     16
1575     896     16
1576     954     16
1577    1136     16
1578    1042     16
1579     834     16
1580     404     16
1581     890     16
1582    1052     16
1583    1125     16
1584    1053     16
1585    1065     16
1586    1106     16
1587    1109     16
1588    1075     16
1589    1154     16
1590    1125     16
1591    1201     16
1592    1224     17
1593    1175     17
1594    1150     17
1595    1139     17
1596    1027     17
1597     975     17
1598     714     17
1599     902     17
1600     997     17
1601    1084     17
1602    1090     17
1603     988     17
1604    1035     17
1605    1077     17
1606     878     17
1607     894     17
1608     960     17
1609    1034     17
1610    1081     17
1611    1079     16
1612    1112     16
1613    1171     16
1614    1215     16
1615    1198     16
1616    1099     16
1617    1122     17
1618    1082     17
1619    1060     17
1620    1136     17
1621     944     17
1622     869     17
1623    1083     17
1624    1171     17
1625    1103     17
1626    1017     17
1627     941     17
1628    1013     17
1629     871     17
1630     970     17
1631    1064     17
1632     889     17
1633    1016     17
1634    1071     17
1635    1119     17
1636    1163     17
1637    1019     17
1638    1052     17
1639    1050     17
1640     969     17
1641    1064     17
1642     955     17
1643     803     17
1644     972     18
1645    1068     18
1646     985     18
1647    1117     18
1648    1013     18
1649     949     18
1650     946     18
1651    1000     18
1652    1060     18
1653     707     18
1654     644     18
1655     894     18
1656    1116     18
1657    1113     18
1658    1178     18
1659    1094     18
1660    1015     18
1661    1140     18
1662    1114     18
1663    1136     18
1664     995     18
1665    1043     18
1666    1051     18
1667    1002     18
1668    1044     18
1669     970     18
1670     961     17
1671     990     17
1672     972     17
1673    1056     17
1674    1003     17
1675     995     17
1676     765     17
1677     923     17
1678    1022     17
1679     952     17
1680     981     17
1681     933     17
1682     933     17
1683    1012     17
1684    1015     17
1685     942     17
1686     864     17
1687     849     17
1688    1075     17
1689    1006     17
1690    1120     16
1691    1045     16
1692    1014     16
1693    1012     16
1694    1071     16
1695    1111     16
1696    1004     16
1697    1095     16
1698     922     16
1699     870     16
1700     869     16
1701     952     16
1702     801     16
1703     731     16
1704     840     16
1705     999     16
1706     842     16
1707     838     16
1708     854     16
1709    1006     16
1710    1051     16
1711     879     16
1712     922     16
1713    1038     16
1714     966     16
1715     993     16
1716    1051     16
1717    1128     17
1718     875     17
1719     827     17
1720     908     17
1721     840     16
1722     844     16
1723     994     16
1724     995     16
1725    1074     16
